DATE;total_vaccinations
0;204870
1;405890
2;433940
3;435210
4;468330
5;472750
6;577350
7;684580
8;785670
9;967880
10;1246690
11;1348780
12;1360530
13;1558770
14;1752630
15;1920290
16;2086750
17;2261100
18;2319930
19;2330540
20;2428850
21;2561320
22;2755520
23;2896660
24;2988800
25;3028240
26;3031270
27;3173360
28;3301410
29;3402450
30;3562950
31;3797880
32;3891000
33;3897240
34;4092450
35;4331160
36;4597240
37;4878370
38;5208590
39;5317830
40;5331660
41;5565820
42;5767780
43;5923970
44;6102460
45;6260740
46;6291110
47;6292630
48;6305780
49;6318890
50;6562760
51;7200830
52;7879500
53;8205640
54;8407380
55;9082730
56;9951950
57;10889620
58;11683750
59;12500250
60;12679030
61;12740230
62;13485570
63;14241380
64;14955680
65;16076140
66;17193330
67;17742620
68;17860630
69;18885250
70;20042990
71;21682320
72;23550140
73;25166200
74;25629930
75;25721610
76;27097110
77;28433900
78;29829150
79;31218250
80;32479670
81;32988240
82;33184480
83;34014630
84;35078860
85;35453380
86;36484990
87;37420330
88;37971000
89;38179100
90;39380710
91;41010440
92;42759400
93;43930620
94;44612000
95;45356830
96;45841500
97;47500980
98;49440300
99;51823230
100;54181840
101;56585250
102;57514480
103;57997530
104;59815210
105;61674940
106;63391020
107;64901190
108;66137770
109;66594740
110;66793750
111;67698210
112;68924750
113;70663670
114;72444600
115;74389530
116;75311560
117;75804600
118;77525130
119;79061770
120;80651160
121;82212900
122;83361720
123;83564630
124;83966220
125;85712410
126;88032090
127;90480440
128;92507580
129;94560190
130;95302790
131;95489650
132;96905450
133;98309060
134;100284690
135;102205240
136;104169220
137;105120160
138;105796040
139;107664840
140;109645590
141;111321790
142;113146270
143;114917870
144;115922020
145;116374500
146;117257860
147;117891750
148;119421380
149;121114250
150;123573170
151;125847210
152;127135300
153;130124000
154;133271240
155;136362780
156;139857310
157;143936720
158;147203800
159;149376410
160;152906040
161;156603350
162;160325400
163;163674030
164;167340190
165;169190060
166;170016420
167;172394730
168;174970300
169;177837140
170;180979590
171;184969430
172;187294440
173;188286340
174;189982430
175;192857780
176;195487050
177;198530670
178;202295220
179;205454970
180;207216240
181;210944750
182;214687300
183;218442480
184;222759670
185;226913930
186;230278740
187;232242370
188;236338480
189;240505150
190;244543940
191;248646980
192;252220640
193;255537950
194;257192980
195;261062160
196;264996190
197;268977550
198;272974640
199;277535080
200;280757970
201;282438880
202;286623590
203;291106040
204;295302910
205;299168910
206;303242460
207;305617090
208;306955230
209;311030100
210;315309300
211;319907030
212;324153610
213;328420700
214;331165390
215;332838540
216;337007100
217;341084440
218;345255230
219;349555960
220;353692720
221;356472720
222;358088810
223;361995040
224;365694950
225;369819290
226;373740540
227;377904110
228;380464870
229;382088550
230;383996620
231;388391040
232;392737350
233;396993250
234;401349910
235;403920790
236;405620230
237;409701860
238;414187570
239;418449130
240;422870890
241;427541570
242;429975340
243;431662440
244;435835950
245;440431120
246;444983470
247;449459560
248;453801240
249;456759210
250;458724270
251;463134950
252;467765210
253;471498700
254;475471360
255;478890920
256;480876850
257;480974070
258;483996740
259;486790140
260;490090250
261;493699660
262;497320050
263;499528640
264;500903240
265;504358340
266;507449270
267;510730990
268;513842520
269;516451990
270;517732720
271;518611960
272;521433840
273;524438120
274;526987850
275;530348960
276;533384400
277;535171930
278;536256450
279;538553000
280;541215380
281;543688560
282;546333570
283;547545480
284;548702090
285;549482990
286;550243690
287;553711220
288;557503560
289;561742080
290;565998920
291;568534560
292;569570160
293;573795490
294;578028990
295;582165550
296;586355120
297;590982780
298;593145700
299;594601690
300;598243180
301;602324370
302;605598580
303;609115460
304;612355820
305;613646850
306;615144700
307;618124990
308;621326470
309;624819100
310;628405270
311;631506920
312;633172510
313;634447910
314;636941750
315;640454220
316;644136200
317;647948920
318;651898060
319;653790660
320;653886500
321;657249950
322;661014800
323;664676180
324;668274520
325;672159500
326;673889830
327;674820540
328;675888310
329;679240870
330;682704850
331;685895700
332;689205540
333;690769590
334;691660820
335;695223130
336;698913220
337;702700040
338;706639300
339;709778220
340;711409300
341;712370950
342;715479050
343;718816660
344;720159880
345;723154930
346;726283010
347;727829020
348;728798270
349;732038640
350;735405040
351;739208980
352;742852840
353;746142270
354;747757280
355;748677980
356;752114650
357;755617300
358;758867010
359;761232420
360;761360150
361;761367270
362;761896840
363;766193650
364;771401450
365;776352090
366;780587870
367;780905470
368;780949830
369;781980460
370;786850150
371;792318920
372;797729640
373;803151210
374;808797240
375;811487140
376;813117550
377;818227910
378;823199480
379;828165720
380;832788210
381;836957900
382;838821220
383;840154670
384;844339500
385;848392460
386;852239680
387;856054980
388;859752080
389;861480830
390;862664680
391;866319000
392;869764960
393;873176070
394;876665800
395;880111140
396;881675570
397;882636750
398;886188100
399;889569760
400;892700930
401;895477390
402;898673150
403;900017690
404;900928860
405;903774430
406;906472090
407;909455290
408;912113050
409;914502880
410;915729410
411;916499810
412;918785120
413;920939100
414;923081310
415;925183250
416;927318430
417;928189520
418;928726540
419;930741880
420;932762060
421;934792390
422;936487550
423;938522370
424;939246030
425;939596450
426;940041670
427;940476690
428;941804620
429;943060050
430;944297850
431;944879440
432;945427090
433;946937090
434;947963290
435;949139130
436;950285620
437;951543310
438;952106530
439;952387720
440;953425230
441;954655170
442;955805170
443;956911770
444;958090330
445;958749620
446;959059030
447;960192090
448;961216040
449;962304480
450;962539270
451;963555070
452;964026800
453;964230080
454;965046660
455;965046660
